Contract,Date,Portfolio_Value
12861603,25 de julio de 2023,248607.91030000002
12861603,25 de mayo de 2023,273803.73350000003
12861603,25 de octubre de 2023,255421.23359999998
12861603,25 de septiembre de 2023,253166.3036
12861603,26 de abril de 2023,271800.83872
12861603,26 de enero de 2023,271046.5759
12861603,26 de julio de 2023,248685.6019
12861603,26 de junio de 2023,276427.7605
12861603,26 de mayo de 2023,273890.0181
12861603,26 de octubre de 2023,255505.2971
12861603,26 de septiembre de 2023,253244.65819999998
12861603,27 de abril de 2023,271884.06963
12861603,27 de enero de 2023,271128.09569999995
12861603,27 de febrero de 2023,293757.97692
12861603,27 de julio de 2023,248767.67340000003
12861603,27 de junio de 2023,276485.8559
12861603,27 de marzo de 2023,296253.19843000005
12861603,27 de noviembre de 2023,252950.0251
12861603,27 de octubre de 2023,255584.6835
12861603,27 de septiembre de 2023,253341.7505
12861603,28 de abril de 2023,271968.65858
12861603,28 de agosto de 2023,251107.2966
12861603,28 de febrero de 2023,293877.79782000004
12861603,28 de julio de 2023,248848.656
12861603,28 de junio de 2023,276587.6974
12861603,28 de marzo de 2023,296346.41267
12861603,28 de noviembre de 2023,252874.5017
12861603,28 de septiembre de 2023,253393.97220000002
12861603,29 de agosto de 2023,251090.10429999998
12861603,29 de junio de 2023,276659.2548
12861603,29 de marzo de 2023,296435.98947
12861603,29 de mayo de 2023,274146.1376
12861603,29 de noviembre de 2023,253023.9268
12861603,29 de septiembre de 2023,253472.1488
12861603,3 de abril de 2023,269891.44167
12861603,3 de agosto de 2023,249293.1633
12861603,3 de febrero de 2023,281684.9283
12861603,3 de julio de 2023,277001.34010000003
12861603,3 de marzo de 2023,294105.8473
12861603,3 de mayo de 2023,272384.3353
12861603,3 de noviembre de 2023,256193.7832
12861603,3 de octubre de 2023,253805.0583
12861603,30 de agosto de 2023,251224.2068
12861603,30 de enero de 2023,271367.1641
12861603,30 de junio de 2023,276741.532
12861603,30 de marzo de 2023,296528.49327000004
12861603,30 de mayo de 2023,274212.5468
12861603,30 de noviembre de 2023,223059.8805
12861603,30 de octubre de 2023,255874.44210000001
12861603,31 de agosto de 2023,251301.3345
12861603,31 de enero de 2023,271443.8902
12861603,31 de julio de 2023,249074.87589999998
12861603,31 de marzo de 2023,296623.19439
12861603,31 de mayo de 2023,274315.8958
12861603,31 de octubre de 2023,255956.51210000002
12861603,4 de abril de 2023,269982.26168000005
12861603,4 de agosto de 2023,249367.8963
12861603,4 de julio de 2023,276996.6909
12861603,4 de mayo de 2023,272473.49549999996
12861603,4 de octubre de 2023,253871.58159999998
12861603,4 de septiembre de 2023,251620.30750000002
12861603,5 de abril de 2023,270067.67957
12861603,5 de julio de 2023,277157.626
12861603,5 de junio de 2023,274741.8512
12861603,5 de mayo de 2023,272561.8399
12861603,5 de octubre de 2023,253976.3443
12861603,5 de septiembre de 2023,251722.8884
12861603,6 de julio de 2023,277244.5111
12861603,6 de junio de 2023,274681.2263
12861603,6 de marzo de 2023,294374.60328
12861603,6 de noviembre de 2023,256430.8146
12861603,6 de octubre de 2023,254035.60760000002
12861603,6 de septiembre de 2023,251802.0249
12861603,7 de agosto de 2023,249596.98940000002
12861603,7 de febrero de 2023,282019.28609999997
12861603,7 de julio de 2023,277326.3396
12861603,7 de junio de 2023,274890.02890000003
12861603,7 de marzo de 2023,294464.30850000004
12861603,7 de noviembre de 2023,256511.8947
12861603,7 de septiembre de 2023,251867.9158
12861603,8 de agosto de 2023,249688.62600000002
12861603,8 de febrero de 2023,282099.8259
12861603,8 de junio de 2023,274973.78160000005
12861603,8 de marzo de 2023,294537.76570000005
12861603,8 de mayo de 2023,272817.3669
12861603,8 de noviembre de 2023,256589.68579999998
12861603,8 de septiembre de 2023,251950.53100000002
12861603,9 de agosto de 2023,249765.59050000002
12861603,9 de febrero de 2023,282174.2854
12861603,9 de junio de 2023,275069.8709
12861603,9 de marzo de 2023,294636.28971
12861603,9 de mayo de 2023,272903.2162
12861603,9 de noviembre de 2023,256665.86119999998
12861603,9 de octubre de 2023,254277.7634
20486403,1 de agosto de 2023,1937016.9819750001
20486403,1 de febrero de 2023,1526587.7496
20486403,1 de junio de 2023,1670364.8954
20486403,1 de marzo de 2023,1539115.6548
20486403,1 de noviembre de 2023,1996749.0701000001
20486403,1 de septiembre de 2023,1953930.9318
20486403,10 de abril de 2023,1588262.6778000002
20486403,10 de agosto de 2023,1942375.992886
20486403,10 de enero de 2023,1518670.183758
20486403,10 de febrero de 2023,1530298.8525
20486403,10 de julio de 2023,1951105.786292
20486403,10 de marzo de 2023,1573320.7700999998
20486403,10 de mayo de 2023,1659612.4572
20486403,10 de noviembre de 2023,2002408.0080999997
20486403,10 de octubre de 2023,1984464.47774
20486403,11 de abril de 2023,1588756.6792000001
20486403,11 de agosto de 2023,1942950.5571319999
20486403,11 de enero de 2023,1518897.196698
20486403,11 de julio de 2023,1951675.340739
20486403,11 de mayo de 2023,1660134.8819499998
20486403,11 de octubre de 2023,1985081.0516899999
20486403,11 de septiembre de 2023,1960118.4031
20486403,12 de abril de 2023,1589212.2779
20486403,12 de enero de 2023,1519228.167982
20486403,12 de julio de 2023,1952293.6208270001
20486403,12 de junio de 2023,1925981.8576000002
20486403,12 de mayo de 2023,1660657.4126
20486403,12 de octubre de 2023,1985635.7939600002
20486403,12 de septiembre de 2023,1960748.0121999998
20486403,13 de abril de 2023,1589690.4068
20486403,13 de diciembre de 2022,1532353.73226
20486403,13 de enero de 2023,1519772.208818
20486403,13 de febrero de 2023,1531601.7806
20486403,13 de julio de 2023,1952902.7286969998
20486403,13 de junio de 2023,1926341.609
20486403,13 de marzo de 2023,1574779.9886
20486403,13 de noviembre de 2023,2004225.5001
20486403,13 de octubre de 2023,1985158.20294
20486403,13 de septiembre de 2023,1961345.4079
20486403,14 de abril de 2023,1590257.1076
20486403,14 de agosto de 2023,1944713.027628
20486403,14 de diciembre de 2022,1533557.76502
20486403,14 de febrero de 2023,1531974.4066
20486403,14 de julio de 2023,1952394.683045
20486403,14 de junio de 2023,1927084.7271
20486403,14 de marzo de 2023,1575309.6245000002
20486403,14 de noviembre de 2023,2005017.8942
20486403,14 de septiembre de 2023,1960822.3146000002
20486403,15 de agosto de 2023,1944255.661092
20486403,15 de diciembre de 2022,1533233.56949
20486403,15 de febrero de 2023,1532493.1681
20486403,15 de junio de 2023,1927700.1293
20486403,15 de marzo de 2023,1575808.8456
20486403,15 de mayo de 2023,1662264.67255
20486403,15 de noviembre de 2023,2004480.1211
20486403,15 de septiembre de 2023,1961433.0707
20486403,16 de agosto de 2023,1944859.2756440002
20486403,16 de diciembre de 2022,1533721.9349699998
20486403,16 de enero de 2023,1521031.936283
20486403,16 de febrero de 2023,1532963.9508
20486403,16 de junio de 2023,1927270.6435
20486403,16 de marzo de 2023,1576280.0923
20486403,16 de mayo de 2023,1662821.9246999999
20486403,16 de noviembre de 2023,2005127.0974
20486403,16 de octubre de 2023,1987026.5406600002
20486403,17 de abril de 2023,1591734.5879
20486403,17 de agosto de 2023,1945446.436102
20486403,17 de enero de 2023,1521484.3208370002
20486403,17 de febrero de 2023,1533452.1152000001
20486403,17 de julio de 2023,1954239.306825
20486403,17 de marzo de 2023,1576777.7736
20486403,17 de mayo de 2023,1663321.4628
20486403,17 de noviembre de 2023,2005682.9982
20486403,17 de octubre de 2023,1987775.68347
20486403,18 de abril de 2023,1592216.3777
20486403,18 de agosto de 2023,1945975.157632
20486403,18 de enero de 2023,1521899.6700560001
20486403,18 de julio de 2023,1954761.5396750001
20486403,18 de mayo de 2023,1680874.1132999999
20486403,18 de octubre de 2023,1988294.0786999997
20486403,18 de septiembre de 2023,1963232.7439000001
20486403,19 de abril de 2023,1592706.9326999998
20486403,19 de diciembre de 2022,1535008.83395
20486403,19 de enero de 2023,1522334.6472819997
20486403,19 de julio de 2023,1955338.628275
20486403,19 de junio de 2023,1929063.3099000002
20486403,19 de mayo de 2023,1681380.81095
20486403,19 de octubre de 2023,1988915.8457
20486403,19 de septiembre de 2023,1963831.8161
20486403,2 de agosto de 2023,1937615.251325
20486403,2 de enero de 2023,1541253.56226
20486403,2 de febrero de 2023,1527030.1995999997
20486403,2 de junio de 2023,1670829.9245
20486403,2 de marzo de 2023,1539592.3749
20486403,2 de mayo de 2023,1655660.76715
20486403,2 de octubre de 2023,1971415.5855999999
20486403,20 de abril de 2023,1593210.7136
20486403,20 de diciembre de 2022,1535332.65586
20486403,20 de enero de 2023,1522763.203395
20486403,20 de febrero de 2023,1534837.3425
20486403,20 de julio de 2023,1955945.773025
20486403,20 de junio de 2023,1929622.0174
20486403,20 de octubre de 2023,1989423.1219000001
20486403,20 de septiembre de 2023,1964441.5977999999
20486403,21 de abril de 2023,1593708.3752000001
20486403,21 de agosto de 2023,1947748.6624319998
20486403,21 de diciembre de 2022,1535776.50935
20486403,21 de febrero de 2023,1535324.1396
20486403,21 de julio de 2023,1956575.1657750001
20486403,21 de junio de 2023,1930272.8735
20486403,21 de marzo de 2023,1578716.783
20486403,21 de noviembre de 2023,2007344.4552
20486403,21 de septiembre de 2023,1965061.9781000002
20486403,22 de agosto de 2023,1948369.2122060002
20486403,22 de diciembre de 2022,1536308.01646
20486403,22 de febrero de 2023,1535797.0951
20486403,22 de junio de 2023,1930890.0851000003
20486403,22 de marzo de 2023,1579210.1887
20486403,22 de mayo de 2023,1682952.5405499998
20486403,22 de noviembre de 2023,2008943.2852
20486403,22 de septiembre de 2023,1965683.082
20486403,23 de agosto de 2023,1948818.1073000003
20486403,23 de diciembre de 2022,1536779.4918
20486403,23 de enero de 2023,1524081.12129
20486403,23 de febrero de 2023,1536281.7948
20486403,23 de junio de 2023,1931510.3044
20486403,23 de marzo de 2023,1579591.0806
20486403,23 de mayo de 2023,1683426.044
20486403,23 de noviembre de 2023,2009213.3679
20486403,23 de octubre de 2023,1991270.0137999998
20486403,24 de abril de 2023,1595203.2368
20486403,24 de agosto de 2023,1949377.6533
20486403,24 de enero de 2023,1524556.17827
20486403,24 de febrero de 2023,1536770.9313
20486403,24 de julio de 2023,1958330.8154000002
20486403,24 de marzo de 2023,1580084.7263
20486403,24 de mayo de 2023,1684010.911
20486403,24 de noviembre de 2023,2009796.0628
20486403,24 de octubre de 2023,1991041.0328999998
20486403,25 de abril de 2023,1595727.1232
